,States/UTs,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
17,Andaman & Nicobar Islands,1919,10.2,18,0,35.5,283.9,542.5,246.5,259.8,170.7,186.2,340.4,258.4,2352.1
18,Andaman & Nicobar Islands,1920,122.3,7.4,3.1,13,237.4,546.9,294.4,467.4,505.4,397.5,262.9,85.5,2943.2
19,Andaman & Nicobar Islands,1921,13.2,3.1,0,37.5,351.2,282.7,487.1,330,581.2,360.7,118.2,41.5,2606.4
20,Andaman & Nicobar Islands,1922,245.3,34.3,15.6,323.1,289.7,506.1,425.8,307.4,511.7,162,541,192.2,3554.2
21,Andaman & Nicobar Islands,1923,79.5,0,NA,91.3,293.5,808.4,636.9,182.2,560.5,131.9,197.4,70.6,NA
22,Andaman & Nicobar Islands,1924,28.7,0,14.8,89.7,191.2,261.2,493.3,290.9,251.2,331.1,378.6,NA,NA
23,Andaman & Nicobar Islands,1925,36.6,0,8.6,50.4,282.2,663.8,241.8,278.2,201.9,249.5,271.5,196,2480.5
24,Andaman & Nicobar Islands,1926,122.1,0,0,0.5,198.4,370,195.3,523.7,719.3,443.8,148.4,560.7,3282.2
25,Andaman & Nicobar Islands,1927,3,17.5,17.8,108.6,504.1,433.3,195.2,370.1,126.2,327.5,274.1,65.5,2442.9
26,Andaman & Nicobar Islands,1928,50.9,67.6,80.7,129.3,499.5,410.2,406.3,391.5,404.8,444.5,99.5,13.5,2998.3
27,Andaman & Nicobar Islands,1929,74.2,118.4,129.2,69.8,316.6,588.8,134,644.7,172.9,413,251.5,13.5,2926.6
28,Andaman & Nicobar Islands,1930,87.4,105.4,131.2,10.9,231.5,533.6,317.9,446.7,677.2,82.3,249.4,201.6,3075.1
29,Andaman & Nicobar Islands,1931,25.3,0,2.5,2.5,205.4,393.5,289.3,571,294.4,368.3,22.8,182.7,2357.7
30,Andaman & Nicobar Islands,1932,2.8,2.5,10.1,58.2,479.7,NA,NA,NA,NA,NA,NA,NA,NA
31,Andaman & Nicobar Islands,1933,4.5,11.7,8.1,58.4,365.4,544.2,376.6,294.1,759,239.8,268.8,56.9,2987.5
32,Andaman & Nicobar Islands,1934,7.3,172.9,6.9,131.4,62,708.4,323.5,924.9,761.1,338.1,240.2,46.1,3722.8
33,Andaman & Nicobar Islands,1935,6.6,0,0.5,133.6,726.8,374.1,368.7,411.6,578.9,182.4,275.4,95.4,3154
34,Andaman & Nicobar Islands,1936,16.5,15.3,116.5,NA,194.3,498.3,664.8,562.9,383.8,174.9,199.2,212.2,NA
35,Andaman & Nicobar Islands,1937,21.6,10.7,0,112,330.5,732.8,449.5,332,349.5,383.3,251.7,617.5,3591.1
36,Andaman & Nicobar Islands,1938,13.4,57.2,50.5,101.6,368.9,668.6,318.2,397.1,546.7,318.4,316.3,107.5,3264.4
37,Andaman & Nicobar Islands,1939,54.1,1.5,16.1,77.3,480.5,541,335.6,202.8,512.5,263.9,165.9,131.3,2782.5
38,Andaman & Nicobar Islands,1940,0.5,2.8,59.4,0,320.7,335.4,268.1,889.2,477.5,114.1,221,318.8,3007.5
39,Andaman & Nicobar Islands,1941,0,12.8,0,77.8,251.9,497,302.5,311.9,516,382.8,266,279.5,2898.2
40,Andaman & Nicobar Islands,1942,39.2,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Andaman & Nicobar Islands,1946,84.4,3.6,21.1,135.2,309.1,535.9,189,367.4,478.3,276.9,146.9,243.8,2791.6
42,Andaman & Nicobar Islands,1947,25.1,111.1,63.2,127.7,206.3,965.6,490,293.7,NA,376,67.5,168.6,NA
43,Andaman & Nicobar Islands,1949,0,56.4,0,166.5,405.8,658.4,743.3,404,627.5,339.6,81.1,7,3489.6
44,Andaman & Nicobar Islands,1950,0.8,0,0,95.5,264.2,369.9,366.7,347.3,494.5,224.6,89.3,169.4,2422.2
45,Andaman & Nicobar Islands,1951,82.7,7.2,0,45.4,259,619.9,665.3,101.3,360.9,489,209.6,434.8,3275.1
46,Andaman & Nicobar Islands,1952,0,0.8,69.7,39.4,452.9,657.7,385.5,541.3,240.3,315.6,287.5,89.2,3079.9
47,Andaman & Nicobar Islands,1953,56,65.3,20.1,159.4,241.1,549.9,444.4,262.8,370.1,243.6,246,63.3,2721.9
48,Andaman & Nicobar Islands,1954,83.8,2.1,34.3,58,394.7,539.4,510.8,605.4,763.8,247.2,84.8,124.7,3449
49,Andaman & Nicobar Islands,1955,57.3,28.2,9.9,68.8,663.6,651.1,298.4,356.9,341.8,466.5,362.9,44.2,3349.6
50,Andaman & Nicobar Islands,1956,49.2,77.2,33.8,130.3,491.8,343.1,468.4,467.7,325.1,458.7,164.1,70.5,3080
51,Andaman & Nicobar Islands,1957,28,19.3,4.6,19,142.4,741.9,316.2,421.3,354.3,299.7,88.6,71.9,2507.2
52,Andaman & Nicobar Islands,1958,22.9,14.3,30.4,24.6,355.1,530.7,440.7,388.4,350.6,265.2,313.8,70.7,2807.4
53,Andaman & Nicobar Islands,1959,10.1,1.8,31.3,86.7,238.1,455.7,817.1,409.3,589.6,332.7,242.5,128.5,3343.3
54,Andaman & Nicobar Islands,1960,104.2,72.4,12.1,53.5,535.4,541.5,308.4,270.7,442.4,400,191.7,92.8,3025
55,Andaman & Nicobar Islands,1961,82.1,99.4,33.2,88.1,973.1,383.3,304.9,557.1,612,379.9,280.6,144.5,3938.2
56,Andaman & Nicobar Islands,1962,152.4,14.9,17.3,46.4,310.4,367.7,409.1,420.6,474.5,259.8,101.7,384.9,2959.7
57,Andaman & Nicobar Islands,1963,79.9,26.8,7.4,69.5,259.9,434.7,303.3,601.2,614.3,295.5,109.3,179.9,2981.7
58,Andaman & Nicobar Islands,1964,65.5,21.9,3.1,18.1,530.6,465.3,287.3,472.1,521.2,218.9,349.2,101.6,3054.8
59,Andaman & Nicobar Islands,1965,11.8,30.4,25.3,51,292.3,408.8,392.1,396.6,576.8,290.5,187.9,500.4,3163.8
60,Andaman & Nicobar Islands,1966,79.8,4.2,12,38.7,376.9,148.8,433.5,335.6,454.1,171.9,333.8,311.9,2701.2
61,Andaman & Nicobar Islands,1967,164.6,21.6,30,63.4,516.4,340.8,537.8,614.3,303.5,427.5,99.7,97,3216.4
62,Andaman & Nicobar Islands,1968,22.1,1.3,4.2,81.5,297.6,545.2,519.3,242,496.8,281.6,152,119.2,2762.8
63,Andaman & Nicobar Islands,1969,106.3,64.7,14.6,20.8,317.3,422.8,345.2,281.4,489.8,146.8,343.7,65.8,2619
64,Andaman & Nicobar Islands,1970,72.2,34,7.8,58.2,422.7,407.3,564.6,342.9,423.5,386.6,418.4,232.7,3370.8
65,Andaman & Nicobar Islands,1971,41.5,32.8,37.7,35.3,398,394.6,421.1,327.9,470.2,505.3,178.4,155.9,2998.6
66,Andaman & Nicobar Islands,1972,13.7,1.7,7.5,178.3,420.2,470,544.6,384.9,444.5,263.8,413.9,180,3323
67,Andaman & Nicobar Islands,1973,18.1,20.3,30.5,29.6,418.6,488.6,371.4,370.3,357.5,247.2,349.8,289.1,2991.1
68,Andaman & Nicobar Islands,1974,22.2,43.9,17.2,301.4,353.3,343.8,257.1,456.2,321.6,398.4,372.2,74.8,2962
69,Andaman & Nicobar Islands,1975,276.9,27.5,8,24.2,362.9,706.3,173.6,357.4,351.8,373.6,323.7,99.7,3085.7
70,Andaman & Nicobar Islands,1976,20.9,9.7,0.6,161.6,551.4,441.4,382.1,487.7,387,166.8,307.2,359.6,3276
71,Andaman & Nicobar Islands,1977,79.7,43.2,6.1,6.9,275.3,339.3,341.1,345.5,467.1,263.6,153.3,67.1,2388.2
72,Andaman & Nicobar Islands,1978,109.6,29.3,18.9,63.4,343.6,462.2,656.6,346.3,310.8,243.7,83.4,44.6,2712.4
73,Andaman & Nicobar Islands,1979,35.5,9.4,3.9,64.8,146.3,282.8,455.9,173.6,330.2,163.5,169.8,13.6,1849.4
74,Andaman & Nicobar Islands,1980,5.5,0.8,9.2,38.8,728.4,604.2,575.7,494.4,271.9,252,143.7,500.7,3625.3
75,Andaman & Nicobar Islands,1981,11.1,27.8,1.7,94.1,270.8,600.6,344.1,510.7,452.6,242.1,348.4,170.7,3074.8
76,Andaman & Nicobar Islands,1982,8.8,2.8,6.6,97.5,229.2,448.7,410.5,347.6,369,164.5,238.8,60.5,2384.5
77,Andaman & Nicobar Islands,1983,22.1,0,3.1,9.1,240.8,424.3,468.9,493.8,505.5,275.8,261,88.1,2792.4
78,Andaman & Nicobar Islands,1984,69.4,173.8,26.3,156.6,162.3,424.9,446.4,125.8,283.6,347.1,158.9,445.2,2820.3
79,Andaman & Nicobar Islands,1985,12,19.2,24.1,55,278.1,588.4,230.9,375.2,362.5,358.9,232.1,94.4,2630.8
80,Andaman & Nicobar Islands,1986,14.8,0.6,1.5,8.2,302.6,312.2,308.5,444,408.9,176.1,163.5,47,2187.8
81,Andaman & Nicobar Islands,1987,72.4,35.2,20.4,17.7,162.9,343.7,45.3,666.5,378.9,373.4,313.4,334.1,2764
82,Andaman & Nicobar Islands,1988,10.2,39.9,28,82.7,427.5,357.4,495.6,354.2,603.3,271.4,583,69.9,3323
83,Andaman & Nicobar Islands,1989,56,12.8,68.1,42.6,379.3,414.9,380.1,413.2,215.9,291.8,255,4,2533.6
84,Andaman & Nicobar Islands,1990,13.4,0.2,24.6,87.5,424.6,291,213.2,293.3,310.4,133.6,291.1,100.3,2183.4
85,Andaman & Nicobar Islands,1991,14.1,3.8,28,132.9,191.3,165.7,547.2,486.5,489.9,287.6,130.1,58.5,2535.8
86,Andaman & Nicobar Islands,1992,75.9,10.9,0,5.1,241.7,392,348.2,372.3,323.7,257.3,64.3,7.2,2098.7
87,Andaman & Nicobar Islands,1993,14.9,0,129.9,43.7,181.4,257.1,391.7,226.7,437,299.3,189,66.7,2237.4
88,Andaman & Nicobar Islands,1994,7.2,35.5,129.4,154.6,403.2,386.3,569.7,460.5,775.1,137.5,180.3,23.8,3262.8
89,Andaman & Nicobar Islands,1995,51.8,12.5,12.1,21.1,314.8,450.4,501.4,555.8,426.4,294.7,452.9,21.6,3115.4
90,Andaman & Nicobar Islands,1996,52.2,4.8,3.4,122.7,298,559.2,335.5,328,541.6,318.5,254.2,178.8,2996.9
91,Andaman & Nicobar Islands,1997,9.5,0,0.2,15.6,281.1,199.5,918.5,430.6,440.2,128.7,292.8,38.4,2755.1
92,Andaman & Nicobar Islands,1998,0.9,0,0,0,348.9,600,364.5,258.9,337.8,618.6,227.8,89,2846.4
93,Andaman & Nicobar Islands,1999,46.8,44.6,14.2,270.6,257.4,295,408.5,329.2,325.3,437.5,124.9,145.7,2699.7
94,Andaman & Nicobar Islands,2000,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.2,2763.2
95,Andaman & Nicobar Islands,2001,89,15.7,143.3,30.1,705.3,370.7,341.3,469,334.4,267.6,222.6,91.8,3080.9
96,Andaman & Nicobar Islands,2002,10.6,0,11.5,100.2,366.7,358.3,317.4,429.8,420,169,306.7,129.9,2620.2
97,Andaman & Nicobar Islands,2003,44.3,7.9,149.2,19.4,296.3,159.9,494.9,379.4,371.9,310.4,74.1,48,2355.9
98,Andaman & Nicobar Islands,2004,54.5,35.9,36.5,41.6,505.1,423.9,378.9,308.7,280.7,223.9,169.9,0.4,2460.1
99,Andaman & Nicobar Islands,2005,0,0,20.3,51.1,305.3,452.4,429.3,311.1,507.5,293.5,300.1,283.9,2954.7
100,Andaman & Nicobar Islands,2006,16.3,14.4,48.9,163.7,321.4,366,182.7,219.6,546.5,374.7,76.1,74.4,2404.7
101,Andaman & Nicobar Islands,2007,4.9,1.6,5,54.6,370,378.3,463.2,465.3,486.4,209.4,223.9,85.6,2748
102,Andaman & Nicobar Islands,2008,9.9,67.7,115.8,216.1,545.5,457.8,511.2,482.1,332,243.7,321.1,72,3374.8
103,Andaman & Nicobar Islands,2009,24.5,6.3,44.2,136.5,313.1,633.5,297.3,351.5,344.7,272.8,66.2,48,2538.6
104,Andaman & Nicobar Islands,2010,101.7,8,0.7,12.5,319,448.9,521.9,563.8,263.3,402.4,268.5,246.4,3157.1
105,Andaman & Nicobar Islands,2011,265.9,84.8,272.8,111.4,326.5,383.2,583.2,441.5,757.1,212.3,150.8,238.5,3828
106,Andaman & Nicobar Islands,2012,119.9,45.6,30.9,55.8,533.9,458.2,317.3,369.6,868.9,209.7,300.5,187.3,3497.6
107,Andaman & Nicobar Islands,2013,67.1,37.6,43,46.3,509.3,777,564.8,336.7,473.6,455.8,354.2,92.3,3757.8
108,Andaman & Nicobar Islands,2014,41.9,8.6,0,11.1,238,416.6,467.6,321.6,412.9,402.6,201.2,100.4,2622.4
109,Andaman & Nicobar Islands,2015,126.8,7.6,3.1,138.2,331.9,346.4,328.9,480,523.3,252.1,236.3,129.9,2904.6
110,Andaman & Nicobar Islands,2016,72,15.8,5.4,2.4,191.1,429.4,301.2,227.7,604.3,287.2,181.7,533.7,2851.9
111,Andaman & Nicobar Islands,2017,228.7,5.6,33,108.3,275.8,349.1,389.4,414.7,372.8,263,205.9,243.7,2890
112,Arunachal Pradesh,1916,48.1,69.8,71.1,316.1,424.6,1124.9,NA,629.7,333.9,NA,NA,NA,NA
113,Arunachal Pradesh,1917,21.4,164.5,NA,269.6,107.9,823.8,909.1,628.4,411.5,199.3,63.5,0,NA
114,Arunachal Pradesh,1918,10.4,11,191.2,144.6,861.1,1609.9,1303,692.6,515.8,125.2,7.8,13.7,5486.3
115,Arunachal Pradesh,1919,34.5,67.8,28.5,256.9,420.6,973.6,999,286.7,628.7,948.3,40.7,8.6,4693.9
116,Arunachal Pradesh,1920,14,196.3,605.6,364.7,173.6,840.6,535.4,896.5,376.7,103.3,0,0,4106.7
117,Arunachal Pradesh,1921,78.9,54.3,180.3,358,598,1233.2,1433,885.9,603.4,246.3,4.6,15.5,5691.4
118,Arunachal Pradesh,1922,50.7,59.4,170.4,299.5,350.5,1109.3,918.7,488.3,207.6,483.5,30.3,19,4187.2
119,Arunachal Pradesh,1923,9.4,160.8,34,240.9,445.4,408.6,1278.5,251.3,617.3,50.1,8.4,2.8,3507.5
120,Arunachal Pradesh,1924,85.7,45.1,74.1,162.4,515.7,1165,942.7,713.8,410.8,303.3,31.9,0,4450.5
121,Arunachal Pradesh,1925,80.6,114,143.3,223,587.2,611.6,611,684.7,1222,153.2,5.1,4.1,4439.8
122,Arunachal Pradesh,1926,38.1,40.8,179.1,249.7,248.1,675.2,978.7,445.6,286.9,311.5,18.6,49.3,3521.6
123,Arunachal Pradesh,1927,48.3,208.5,88.1,384,164,1045.4,923.2,727.8,1108.9,537.2,17.8,0,5253.2
124,Arunachal Pradesh,1928,48.9,39.7,118.2,123.4,431.9,1168.3,993.6,981.2,706.1,633.5,25.6,2.3,5272.7
125,Arunachal Pradesh,1929,144.8,59.2,124.3,492.3,615.8,853,614.4,670,384.3,188,64.5,109.5,4320.2
126,Arunachal Pradesh,1930,64.4,84.3,202.5,565.4,148.9,720.9,376.2,1055.5,637,361.1,93.2,24.9,4334.1
127,Arunachal Pradesh,1931,61.3,189.7,231.6,502.7,277.7,1149.4,1399.9,337.7,480.7,157.4,37.8,46.2,4872.1
128,Arunachal Pradesh,1932,70.2,110.3,105.5,282.7,661.6,1065.2,521.2,907.8,682.9,152.2,231.4,59.9,4850.9
129,Arunachal Pradesh,1933,56,59.4,101.6,267.9,435.3,782.1,743.2,685.2,376.1,217.9,40.6,8.1,3773.3
130,Arunachal Pradesh,1934,84.9,88.3,128.3,595.1,454.5,1024.6,935.9,640.9,382.6,141.6,77,21.9,4575.7
131,Arunachal Pradesh,1935,18.1,143.6,169.7,211.2,299.9,1147.1,489.9,968.8,631.6,21.8,44.4,27.4,4173.7
132,Arunachal Pradesh,1936,105.9,175.2,151.7,374.7,295.7,833.1,1132.8,668.4,584.3,216.5,122.8,127.6,4788.9
133,Arunachal Pradesh,1937,19.9,105.6,91.2,261,399,456.4,611.6,816.9,339.7,239.8,16.7,17.3,3375.1
134,Arunachal Pradesh,1938,144.8,121.6,340.5,395.3,306.5,1511.3,1355.1,790.8,877.3,220.6,59.7,5.6,6129
135,Arunachal Pradesh,1939,13.6,140.5,112.7,388.1,314.6,1132.5,838.5,310.2,476.4,157.6,6.2,7.7,3898.7
136,Arunachal Pradesh,1940,12.7,168.5,381.8,133.9,480.5,511,1067.9,340.5,791.4,154.6,12.4,44.3,4099.3
137,Arunachal Pradesh,1941,37.4,101.7,157.9,245.4,652.4,518.1,935.9,729.2,687,89.7,19.6,45.9,4220.2
138,Arunachal Pradesh,1942,15.8,164.9,277.8,272.4,618.9,1182.6,457.5,438.9,357.6,8.7,32.1,1.1,3828.2
139,Arunachal Pradesh,1943,164.5,46.3,286.3,322.6,656.6,712.3,688.1,501,727.7,155.4,43,22.8,4326.7
140,Arunachal Pradesh,1944,73.1,67,128.4,179.9,664.6,935.9,483.6,307.4,656.1,334.8,26,47.5,3904.3
141,Arunachal Pradesh,1945,43.4,107.8,151.3,282.9,366,420.2,960,771.3,328.6,187.7,1.3,28.7,3649.3
142,Arunachal Pradesh,1946,1.8,73.2,141.7,238.3,631.2,448.6,1212.2,478.7,540.4,215.9,25.4,3.8,4011.2
143,Arunachal Pradesh,1947,37.8,68.5,158.6,460.2,494.4,650.2,1245,417.9,503.8,297.3,9.5,25.9,4369.1
144,Arunachal Pradesh,1948,35.6,119.5,136.1,441.1,1168.6,889.5,2362.8,603.3,350.4,150.1,52.7,21.4,6331.1
145,Arunachal Pradesh,1949,80.1,88.1,287.4,436.9,567.2,943.9,1002,672.6,482,224.9,39.6,50.1,4874.7
146,Arunachal Pradesh,1950,38.6,92.8,205.8,425.2,274.2,NA,377.6,241.8,285.8,356,49.5,43.9,NA
147,Arunachal Pradesh,1951,31.8,65.3,309.9,441,344.5,757.8,554.7,278.5,383.7,101.8,46.2,39.1,3354.2
148,Arunachal Pradesh,1952,17.2,24.5,189.6,151.5,235.1,276.8,320.6,481.1,368.2,257.9,43.9,29.7,2396.1
149,Arunachal Pradesh,1953,56.4,106.9,236,214.9,314.9,409.9,512.5,245.3,449.8,NA,10.4,23.4,NA
150,Arunachal Pradesh,1957,NA,NA,NA,246.9,448.9,608.1,1219.4,542.6,505.8,146.6,17.1,40.6,NA
151,Arunachal Pradesh,1958,98.4,67.5,32.9,138.5,698.6,511.2,457.7,1664.6,705.2,669.4,2.5,17,5063.5
152,Arunachal Pradesh,1959,83.2,137.9,104.5,146.4,671.8,812.9,1137.7,333.2,508.8,247,12.1,0,4195.5
153,Arunachal Pradesh,1960,8,26.8,53.2,137.1,210.7,653.9,1296.8,251.3,1034.8,13,13.4,10.4,3709.4
154,Arunachal Pradesh,1961,50,204.2,289.6,181,492.3,595.5,738.3,547.9,256.2,260.5,57.1,3.9,3676.5
155,Arunachal Pradesh,1962,37.2,87.1,45.1,250.3,601.9,1088.8,758.1,1405.9,222.4,255.6,NA,NA,NA
156,Arunachal Pradesh,1963,14.6,35.2,168.6,262.6,346.4,755.4,817.4,1199.3,366.4,136.4,20,15.7,4138
157,Arunachal Pradesh,1964,55.4,90.3,81.1,219.7,286.4,1432.8,1506.1,492.1,465.1,246.2,12.2,71.9,4959.3
158,Arunachal Pradesh,1965,37.4,120.7,103.7,254.4,306.9,404.7,315.8,351.3,172.9,51.5,72.6,4.9,2196.8
159,Arunachal Pradesh,1966,22.4,91.5,98.4,180.2,177.9,473.2,432.7,411.6,197.6,78.9,39,6.3,2209.6
160,Arunachal Pradesh,1967,13.3,45.5,147.9,96.6,164,253.1,434.5,220.8,212.8,58.5,10,11.5,1668.5
161,Arunachal Pradesh,1968,54.2,41.4,135.9,117.6,307.2,510.1,404.8,227.5,243.5,75.8,12.5,8.4,2139
162,Arunachal Pradesh,1969,19.2,10,33.8,127,202.3,412.3,405.1,333.9,241.4,42.9,34.8,15.1,1877.7
163,Arunachal Pradesh,1970,49.2,78.8,57.4,108.8,213.4,409.6,377.9,245.4,287.4,138.6,6.9,0,1973.4
164,Arunachal Pradesh,1971,56,67.8,47.1,121.8,222.4,446,385.5,288.2,239.6,235.1,67.8,7.3,2184.5
165,Arunachal Pradesh,1972,39.2,114.2,108.3,231.5,299.5,314.4,438.3,270.7,334.5,83.3,25.9,21.5,2281.3
166,Arunachal Pradesh,1973,136.4,147.1,82.3,215.3,256.5,571.1,284.8,271.3,258.3,110.2,88.9,35.4,2457.5
167,Arunachal Pradesh,1974,130.9,95.4,127.8,272.6,248.3,466.7,648.9,446.8,461.2,121.1,14,30.3,3063.9
168,Arunachal Pradesh,1975,17.3,76.9,101.7,165.1,188,268.5,427,185.2,297,451.6,21.5,13.6,2213.3
169,Arunachal Pradesh,1976,8.9,112.9,168,229.3,210.7,506.3,375.4,357.4,177.5,139.7,87.9,45.6,2419.5
170,Arunachal Pradesh,1977,71.2,133.5,209.3,560.2,417.8,543.5,484.7,610.1,311.9,213.5,141,77.7,3774.3
171,Arunachal Pradesh,1978,37.1,82.2,150.6,216.4,345.6,577.2,357.5,172.4,310.4,133,146.1,2.5,2531
172,Arunachal Pradesh,1979,47.4,81.6,138.2,158.8,210.3,239.4,665.4,296.9,417.5,409.6,27.4,81.2,2773.6
173,Arunachal Pradesh,1980,65.6,130.4,251.4,372,245.5,530.9,514.1,544.7,367.4,185.4,7.8,0.2,3215.3
174,Arunachal Pradesh,1981,93.1,136.1,255.2,197.4,285,494.9,549.3,360.6,262.6,71.8,29.3,55.5,2790.9
175,Arunachal Pradesh,1982,6.4,100.4,151.2,335.3,241.4,429.8,593,197,526.6,82.3,53.8,62.2,2779.5
176,Arunachal Pradesh,1983,65.4,171.1,217.6,351.2,301.9,551,563.2,389.9,476.4,191.7,14.9,40.8,3335.3
177,Arunachal Pradesh,1984,98.1,42.8,166.9,389.3,448.7,417.3,671,309.2,455.5,184.1,5.7,89.5,3278
178,Arunachal Pradesh,1985,54.1,81,255.6,347.1,345.5,506,657.8,326.3,502.2,116.6,25.4,48.8,3266.2
179,Arunachal Pradesh,1986,19.3,90.1,122.8,335.3,101.8,402.5,453.7,355.3,387.6,176.6,36.6,14,2495.6
180,Arunachal Pradesh,1987,3.7,72.5,147.7,352,230.8,501.5,754.9,558.8,646.6,101.1,24.1,39.6,3433.2
181,Arunachal Pradesh,1988,50.9,118.3,250.7,278.9,535.9,287,868.1,815.6,486.3,416.4,34.2,13.1,4155.3
182,Arunachal Pradesh,1989,52.6,171.9,92.9,388.7,239.7,484.2,640.7,305.3,526.5,281.7,77.9,19.6,3281.6
183,Arunachal Pradesh,1990,54.8,112.4,149,289.9,366.2,857.2,534,352.8,625.5,240.6,2,19.7,3604
184,Arunachal Pradesh,1991,24.9,86,110.7,193.3,423.7,608.3,607.7,603.4,484.5,189,22.2,80.8,3434.4
185,Arunachal Pradesh,1992,33.2,128.9,184.6,196.4,239.2,522.9,557.2,294.3,328.2,201.5,11.5,8.9,2707
186,Arunachal Pradesh,1993,95.7,125.4,134.4,130.6,408.3,569.5,619.2,691.9,323.1,228.6,14.7,7.5,3348.9
187,Arunachal Pradesh,1994,48.2,72.6,215.3,232.1,382.9,416.1,233,280.2,225,161.6,14.1,6.2,2287.4
188,Arunachal Pradesh,1995,20.6,79.9,84.3,198.8,363.9,686.9,714.5,328.8,425.1,82.4,51,32.6,3068.8
189,Arunachal Pradesh,1996,35.7,56.2,163.6,171.4,398.2,316.2,593,372.1,191.2,212.5,9.1,1.4,2520.5
190,Arunachal Pradesh,1997,26.2,68.5,158.5,94.7,212.6,548,395.2,237,403.5,58.5,45.9,26.3,2274.9
191,Arunachal Pradesh,1998,26.7,78.8,193.6,125,275,839.8,823.8,807,236.8,187.2,20.5,2.5,3616.7
192,Arunachal Pradesh,1999,7.9,6.1,40.4,159.6,343.2,450,376.9,438.1,254,207.9,28.3,4.3,2316.6
193,Arunachal Pradesh,2000,54.1,47.1,139.9,293.8,267.2,459.8,395.4,387.4,407.4,81.3,53.9,9.6,2596.8
194,Arunachal Pradesh,2001,53.1,66.6,134.9,229.9,195.6,277.2,302.6,279.9,288.1,173.8,19.3,14.9,2036
195,Arunachal Pradesh,2002,74.2,37.2,126.3,248.2,197.1,396.8,604,290.7,257.9,94,45,17.9,2389.2
196,Arunachal Pradesh,2003,22.9,83.2,109.6,182,173.5,424.3,645.3,327.2,259.9,182.6,25,16.2,2451.8
197,Arunachal Pradesh,2004,38,39.1,175.5,210.2,298.7,402.9,654.3,243,278.5,184.8,5.6,15.2,2545.7
198,Arunachal Pradesh,2005,48.4,167.6,229.5,195.3,179.8,269.3,430.8,400,243.6,139.3,28.6,3.3,2335.5
199,Arunachal Pradesh,2006,6,103.7,63.3,202.7,321.7,520.4,382.2,227.6,263.2,77.2,69.7,21.7,2259.6
200,Arunachal Pradesh,2007,13.4,97.4,48.1,292.4,250.4,530.2,761,364.6,529.3,102.6,24.3,6.9,3020.7
201,Arunachal Pradesh,2008,76.7,39.7,122.6,192.4,185,423.6,456.1,439.3,189.7,115.1,1.7,2.6,2244.4
202,Arunachal Pradesh,2009,18,92.8,72.1,132.7,189.9,259.1,329.9,370.3,152.5,82.9,33.9,15.9,1749.9
203,Arunachal Pradesh,2010,0.6,13.2,237.8,466.9,312.7,509.9,378,321.5,444.2,97.7,58.9,14.2,2855.7
